conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38,DNArepair
"kras$\Delta$, DNAdam, chek1i/0",20,model1010.bnet,0.002,1.0,0.002,0.002,0.002,0.002,,0.002,0.002,0.868,1.0,0.002,0.004,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",20,model1010.bnet,0.002,1.0,0.002,0.006,0.006,0.006,,0.002,0.002,0.855,1.0,0.002,0.008,0.006,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",20,model1010.bnet,0.002,1.0,0.001,0.004,0.004,0.004,,0.002,0.002,0.853,1.0,,0.005,0.004,1.0,,1.0,0.0
"wt, no DNAdam",21,model1010.bnet,,0.798,,0.058,0.058,0.058,,,,0.798,0.798,,0.058,0.058,0.798,,0.798,
"kras$\Delta$, no DNAdam, 0/0",21,model1010.bnet,,1.0,,0.055,0.055,0.055,,,,0.795,1.0,,0.055,0.055,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",21,model1010.bnet,0.006,1.0,0.007,0.002,0.002,0.002,0.006,0.006,0.006,0.848,1.0,0.006,0.008,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",21,model1010.bnet,0.005,1.0,0.006,0.002,0.002,0.002,,0.005,0.005,0.876,1.0,0.005,0.008,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",21,model1010.bnet,0.007,1.0,0.007,0.002,0.002,0.002,,0.007,0.007,0.858,1.0,0.007,0.011,0.004,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",21,model1010.bnet,0.008,1.0,0.008,0.004,0.004,0.004,,0.008,0.008,0.866,1.0,,0.011,0.004,1.0,,1.0,
"wt, no DNAdam",22,model1010.bnet,,0.81,,0.047,0.047,0.047,,,,0.81,0.81,,0.047,0.047,0.81,,0.81,
"kras$\Delta$, no DNAdam, 0/0",22,model1010.bnet,,1.0,,0.055,0.055,0.055,,,,0.792,1.0,,0.055,0.055,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",22,model1010.bnet,0.007,1.0,0.007,0.002,0.002,0.002,0.007,0.007,0.007,0.857,1.0,0.007,0.01,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",22,model1010.bnet,0.007,1.0,0.006,0.002,0.002,0.002,,0.007,0.007,0.862,1.0,0.007,0.01,0.003,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, 0/mk2i",22,model1010.bnet,0.006,1.0,0.006,0.004,0.004,0.004,,0.006,0.006,0.865,1.0,0.006,0.012,0.006,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",22,model1010.bnet,0.011,1.0,0.011,0.004,0.004,0.004,,0.011,0.011,0.87,1.0,,0.016,0.005,1.0,,1.0,
"wt, no DNAdam",23,model1010.bnet,,0.809,,0.046,0.046,0.046,,,,0.809,0.809,,0.046,0.046,0.809,,0.809,
"kras$\Delta$, no DNAdam, 0/0",23,model1010.bnet,,1.0,,0.052,0.052,0.052,,,,0.821,1.0,,0.052,0.052,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",23,model1010.bnet,0.004,1.0,0.005,0.002,0.002,0.002,0.004,0.004,0.004,0.866,1.0,0.004,0.007,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",23,model1010.bnet,0.005,1.0,0.006,0.002,0.002,0.002,,0.005,0.005,0.87,1.0,0.005,0.008,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",23,model1010.bnet,0.006,1.0,0.007,0.001,0.001,0.001,,0.006,0.006,0.864,1.0,0.006,0.008,0.001,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",23,model1010.bnet,0.006,1.0,0.006,0.007,0.007,0.007,,0.006,0.006,0.85,1.0,,0.013,0.007,1.0,,1.0,
"wt, no DNAdam",24,model1010.bnet,,0.803,,0.046,0.046,0.046,,,,0.803,0.803,,0.046,0.046,0.803,,0.803,
"kras$\Delta$, no DNAdam, 0/0",24,model1010.bnet,,1.0,,0.047,0.047,0.047,,,,0.812,1.0,,0.047,0.047,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",24,model1010.bnet,0.006,1.0,0.006,0.001,0.001,0.001,0.006,0.006,0.006,0.849,1.0,0.006,0.007,0.001,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",24,model1010.bnet,0.005,1.0,0.006,0.002,0.002,0.002,,0.005,0.005,0.86,1.0,0.005,0.008,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",24,model1010.bnet,0.008,1.0,0.008,0.0,0.0,0.0,,0.008,0.008,0.869,1.0,0.008,0.008,0.0,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",24,model1010.bnet,0.008,1.0,0.008,0.002,0.002,0.002,,0.008,0.008,0.86,1.0,,0.01,0.002,1.0,,1.0,
"wt, no DNAdam",25,model1010.bnet,,0.802,,0.052,0.052,0.052,,,,0.802,0.802,,0.052,0.052,0.802,,0.802,
"kras$\Delta$, no DNAdam, 0/0",25,model1010.bnet,,1.0,,0.052,0.052,0.052,,,,0.812,1.0,,0.052,0.052,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",25,model1010.bnet,0.005,1.0,0.005,0.003,0.003,0.003,0.005,0.005,0.005,0.862,1.0,0.005,0.008,0.004,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/0",25,model1010.bnet,0.008,1.0,0.008,0.002,0.002,0.002,,0.008,0.008,0.858,1.0,0.008,0.012,0.003,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",25,model1010.bnet,0.009,1.0,0.009,0.003,0.003,0.003,,0.009,0.009,0.858,1.0,0.009,0.012,0.003,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/mk2i",25,model1010.bnet,0.011,1.0,0.011,0.002,0.002,0.002,,0.011,0.011,0.858,1.0,,0.014,0.002,1.0,,1.0,
"wt, no DNAdam",26,model1010.bnet,,0.804,,0.048,0.048,0.048,,,,0.804,0.804,,0.048,0.048,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",26,model1010.bnet,,1.0,,0.056,0.056,0.056,,,,0.793,1.0,,0.056,0.056,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",26,model1010.bnet,0.004,1.0,0.005,0.0,0.0,0.0,0.004,0.004,0.004,0.852,1.0,0.004,0.006,0.001,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",26,model1010.bnet,0.01,1.0,0.011,0.002,0.002,0.002,,0.01,0.01,0.856,1.0,0.01,0.013,0.002,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",26,model1010.bnet,0.006,1.0,0.006,0.004,0.004,0.004,,0.006,0.006,0.877,1.0,0.006,0.011,0.005,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",26,model1010.bnet,0.01,1.0,0.01,0.004,0.004,0.004,,0.01,0.01,0.856,1.0,,0.014,0.004,1.0,,1.0,
"wt, no DNAdam",27,model1010.bnet,,0.8,,0.207,0.207,0.207,,,,0.8,0.8,,0.206,0.206,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",27,model1010.bnet,,1.0,,0.198,0.198,0.198,,,,0.801,1.0,,0.198,0.198,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",27,model1010.bnet,0.002,1.0,0.002,0.007,0.007,0.007,0.002,0.002,0.002,0.874,1.0,0.002,0.008,0.007,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",27,model1010.bnet,0.002,1.0,0.002,0.01,0.01,0.01,,0.002,0.002,0.858,1.0,0.002,0.012,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",27,model1010.bnet,0.002,1.0,0.002,0.011,0.011,0.011,,0.002,0.002,0.866,1.0,0.002,0.013,0.011,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/mk2i",27,model1010.bnet,0.004,1.0,0.005,0.012,0.012,0.012,,0.004,0.004,0.87,1.0,,0.016,0.012,1.0,,1.0,
"wt, no DNAdam",28,model1010.bnet,,0.797,,0.202,0.202,0.202,,,,0.797,0.797,,0.202,0.202,0.797,,0.797,
"kras$\Delta$, no DNAdam, 0/0",28,model1010.bnet,,1.0,,0.202,0.202,0.202,,,,0.806,1.0,,0.202,0.202,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",28,model1010.bnet,0.0,1.0,0.001,0.007,0.007,0.007,0.0,0.0,0.0,0.866,1.0,0.0,0.008,0.007,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",28,model1010.bnet,0.001,1.0,0.002,0.011,0.011,0.011,,0.001,0.001,0.861,1.0,0.001,0.012,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",28,model1010.bnet,0.002,1.0,0.002,0.008,0.008,0.008,,0.002,0.002,0.873,1.0,0.002,0.01,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",28,model1010.bnet,0.003,1.0,0.003,0.018,0.018,0.018,,0.003,0.003,0.859,1.0,,0.022,0.018,1.0,,1.0,
"wt, no DNAdam",29,model1010.bnet,,0.791,,0.21,0.21,0.21,,,,0.791,0.791,,0.209,0.209,0.791,,0.791,
"kras$\Delta$, no DNAdam, 0/0",29,model1010.bnet,,1.0,,0.19,0.19,0.19,,,,0.812,1.0,,0.19,0.19,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",29,model1010.bnet,0.0,1.0,0.001,0.014,0.014,0.014,0.0,0.0,0.0,0.835,1.0,0.0,0.014,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",29,model1010.bnet,0.002,1.0,0.002,0.011,0.011,0.011,,0.002,0.002,0.858,1.0,0.002,0.013,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",29,model1010.bnet,0.001,1.0,0.001,0.015,0.015,0.015,,0.001,0.001,0.853,1.0,0.001,0.016,0.015,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",29,model1010.bnet,0.006,1.0,0.006,0.02,0.02,0.02,,0.006,0.006,0.874,1.0,,0.026,0.02,1.0,,1.0,
"wt, no DNAdam",30,model1010.bnet,,0.812,,0.188,0.188,0.188,,,,0.812,0.812,,0.188,0.188,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",30,model1010.bnet,,1.0,,0.188,0.188,0.188,,,,0.815,1.0,,0.188,0.188,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",30,model1010.bnet,0.004,1.0,0.005,0.013,0.013,0.013,0.004,0.004,0.004,0.859,1.0,0.004,0.018,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",30,model1010.bnet,0.006,1.0,0.006,0.007,0.007,0.007,,0.006,0.006,0.862,1.0,0.006,0.013,0.007,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",30,model1010.bnet,0.007,1.0,0.007,0.012,0.012,0.012,,0.007,0.007,0.858,1.0,0.007,0.019,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",30,model1010.bnet,0.011,1.0,0.011,0.014,0.014,0.014,,0.011,0.011,0.868,1.0,,0.026,0.014,1.0,,1.0,
"wt, no DNAdam",31,model1010.bnet,,0.796,,0.199,0.199,0.199,,,,0.796,0.796,,0.199,0.199,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",31,model1010.bnet,,1.0,,0.193,0.193,0.193,,,,0.822,1.0,,0.193,0.193,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",31,model1010.bnet,0.006,1.0,0.006,0.01,0.01,0.01,0.006,0.006,0.006,0.857,1.0,0.006,0.018,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",31,model1010.bnet,0.005,1.0,0.005,0.012,0.012,0.012,,0.005,0.005,0.872,1.0,0.005,0.018,0.013,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",31,model1010.bnet,0.007,1.0,0.007,0.014,0.014,0.014,,0.007,0.007,0.861,1.0,0.007,0.021,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",31,model1010.bnet,0.006,1.0,0.007,0.017,0.017,0.017,,0.006,0.006,0.856,1.0,,0.024,0.017,1.0,,1.0,
"wt, no DNAdam",32,model1010.bnet,,0.796,,0.204,0.204,0.204,,,,0.796,0.796,,0.204,0.204,0.796,,0.796,
"kras$\Delta$, no DNAdam, 0/0",32,model1010.bnet,,1.0,,0.2,0.2,0.2,,,,0.808,1.0,,0.2,0.2,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",32,model1010.bnet,0.002,1.0,0.004,0.013,0.013,0.013,0.002,0.002,0.002,0.869,1.0,0.002,0.016,0.013,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",32,model1010.bnet,0.005,1.0,0.005,0.008,0.008,0.008,,0.005,0.005,0.855,1.0,0.005,0.014,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",32,model1010.bnet,0.007,1.0,0.008,0.014,0.014,0.014,,0.007,0.007,0.849,1.0,0.007,0.023,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",32,model1010.bnet,0.009,1.0,0.009,0.012,0.012,0.012,,0.009,0.009,0.865,1.0,,0.02,0.012,1.0,,1.0,
"wt, no DNAdam",33,model1010.bnet,,0.811,,0.182,0.182,0.182,,,,0.811,0.811,,0.182,0.182,0.811,,0.811,
"kras$\Delta$, no DNAdam, 0/0",33,model1010.bnet,,1.0,,0.21,0.21,0.21,,,,0.788,1.0,,0.21,0.21,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",33,model1010.bnet,0.006,1.0,0.006,0.012,0.012,0.012,0.006,0.006,0.006,0.875,1.0,0.006,0.018,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",33,model1010.bnet,0.005,1.0,0.006,0.012,0.012,0.012,,0.005,0.005,0.864,1.0,0.005,0.018,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",33,model1010.bnet,0.01,1.0,0.012,0.009,0.009,0.009,,0.01,0.01,0.857,1.0,0.01,0.022,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",33,model1010.bnet,0.012,1.0,0.012,0.018,0.018,0.018,,0.012,0.012,0.858,1.0,,0.03,0.018,1.0,,1.0,
"wt, no DNAdam",34,model1010.bnet,,0.808,,0.18,0.18,0.18,,,,0.808,0.808,,0.18,0.18,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",34,model1010.bnet,,1.0,,0.18,0.18,0.18,,,,0.819,1.0,,0.18,0.18,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",34,model1010.bnet,0.005,1.0,0.006,0.009,0.009,0.009,0.005,0.005,0.005,0.869,1.0,0.005,0.015,0.009,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",34,model1010.bnet,0.006,1.0,0.006,0.016,0.016,0.016,,0.006,0.006,0.852,1.0,0.006,0.022,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",34,model1010.bnet,0.006,1.0,0.006,0.01,0.01,0.01,,0.006,0.006,0.855,1.0,0.006,0.016,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",34,model1010.bnet,0.008,1.0,0.008,0.008,0.008,0.008,,0.008,0.008,0.862,1.0,,0.016,0.008,1.0,,1.0,
"wt, no DNAdam",35,model1010.bnet,,0.808,,0.196,0.196,0.196,,,,0.808,0.808,,0.196,0.196,0.808,,0.808,
"kras$\Delta$, no DNAdam, 0/0",35,model1010.bnet,,1.0,,0.173,0.173,0.173,,,,0.822,1.0,,0.173,0.173,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",35,model1010.bnet,0.006,1.0,0.007,0.009,0.009,0.009,0.006,0.006,0.006,0.844,1.0,0.006,0.016,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",35,model1010.bnet,0.01,1.0,0.01,0.012,0.012,0.012,,0.01,0.01,0.86,1.0,0.01,0.023,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",35,model1010.bnet,0.01,1.0,0.01,0.012,0.012,0.012,,0.01,0.01,0.86,1.0,0.01,0.022,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",35,model1010.bnet,0.007,1.0,0.008,0.016,0.016,0.016,,0.007,0.007,0.856,1.0,,0.024,0.016,1.0,,1.0,
"wt, no DNAdam",36,model1010.bnet,,0.793,,0.216,0.216,0.216,,,,0.793,0.793,,0.216,0.216,0.793,,0.793,
"kras$\Delta$, no DNAdam, 0/0",36,model1010.bnet,,1.0,,0.188,0.188,0.188,,,,0.81,1.0,,0.188,0.188,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",36,model1010.bnet,0.004,1.0,0.004,0.008,0.008,0.008,0.004,0.004,0.003,0.865,1.0,0.004,0.012,0.008,1.0,,1.0,0.0
"kras$\Delta$, DNAdam, chek1i/0",36,model1010.bnet,0.004,1.0,0.005,0.016,0.016,0.016,,0.004,0.004,0.856,1.0,0.004,0.021,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",36,model1010.bnet,0.01,1.0,0.012,0.016,0.016,0.016,,0.01,0.01,0.862,1.0,0.01,0.029,0.017,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",36,model1010.bnet,0.012,1.0,0.013,0.032,0.032,0.032,,0.012,0.012,0.867,1.0,,0.044,0.032,1.0,,1.0,
"wt, no DNAdam",37,model1010.bnet,,0.804,,0.198,0.198,0.198,,,,0.804,0.804,,0.198,0.198,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",37,model1010.bnet,,1.0,,0.186,0.186,0.186,,,,0.807,1.0,,0.186,0.186,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",37,model1010.bnet,0.004,1.0,0.004,0.012,0.012,0.012,0.004,0.004,0.004,0.851,1.0,0.004,0.017,0.013,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",37,model1010.bnet,0.008,1.0,0.008,0.018,0.018,0.018,,0.008,0.008,0.866,1.0,0.008,0.027,0.019,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",37,model1010.bnet,0.002,1.0,0.002,0.016,0.016,0.016,,0.002,0.002,0.855,1.0,0.002,0.018,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",37,model1010.bnet,0.017,1.0,0.018,0.027,0.027,0.027,,0.017,0.017,0.864,1.0,,0.044,0.027,1.0,,1.0,
"wt, no DNAdam",38,model1010.bnet,,0.8,,0.207,0.207,0.207,,,,0.8,0.8,,0.207,0.207,0.8,,0.8,
"kras$\Delta$, no DNAdam, 0/0",38,model1010.bnet,,1.0,,0.204,0.204,0.204,,,,0.794,1.0,,0.204,0.204,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",38,model1010.bnet,0.008,1.0,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.854,1.0,0.008,0.018,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",38,model1010.bnet,0.008,1.0,0.008,0.01,0.01,0.01,,0.008,0.008,0.869,1.0,0.008,0.017,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",38,model1010.bnet,0.006,1.0,0.007,0.012,0.012,0.012,,0.006,0.006,0.859,1.0,0.006,0.019,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",38,model1010.bnet,0.018,1.0,0.022,0.034,0.034,0.034,,0.018,0.018,0.857,1.0,,0.055,0.034,1.0,,1.0,
"wt, no DNAdam",39,model1010.bnet,,0.818,,0.188,0.188,0.188,,,,0.818,0.818,,0.188,0.188,0.818,,0.818,
"kras$\Delta$, no DNAdam, 0/0",39,model1010.bnet,,1.0,,0.21,0.21,0.21,,,,0.796,1.0,,0.21,0.21,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",39,model1010.bnet,0.017,1.0,0.018,0.012,0.012,0.012,0.017,0.017,0.017,0.855,1.0,0.017,0.032,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",39,model1010.bnet,0.026,1.0,0.027,0.012,0.012,0.012,,0.026,0.026,0.854,1.0,0.026,0.043,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",39,model1010.bnet,0.023,1.0,0.025,0.014,0.014,0.014,,0.023,0.023,0.853,1.0,0.023,0.04,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",39,model1010.bnet,0.032,1.0,0.034,0.016,0.016,0.016,,0.032,0.032,0.863,1.0,,0.05,0.016,1.0,,1.0,
"wt, no DNAdam",40,model1010.bnet,,0.803,,0.196,0.196,0.196,,,,0.803,0.803,,0.196,0.196,0.803,,0.803,
"kras$\Delta$, no DNAdam, 0/0",40,model1010.bnet,,1.0,,0.2,0.2,0.2,,,,0.804,1.0,,0.2,0.2,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",40,model1010.bnet,0.022,1.0,0.024,0.012,0.012,0.012,0.022,0.022,0.022,0.864,1.0,0.022,0.038,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",40,model1010.bnet,0.018,1.0,0.02,0.013,0.013,0.013,,0.018,0.018,0.871,1.0,0.018,0.036,0.016,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",40,model1010.bnet,0.026,1.0,0.028,0.012,0.012,0.012,,0.026,0.026,0.859,1.0,0.026,0.042,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",40,model1010.bnet,0.032,1.0,0.036,0.017,0.017,0.017,,0.032,0.032,0.858,1.0,,0.054,0.018,1.0,,1.0,
"wt, no DNAdam",41,model1010.bnet,,0.804,,0.198,0.198,0.198,,,,0.804,0.804,,0.198,0.198,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",41,model1010.bnet,,1.0,,0.216,0.216,0.216,,,,0.79,1.0,,0.216,0.216,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",41,model1010.bnet,0.022,1.0,0.022,0.011,0.011,0.011,0.022,0.022,0.022,0.87,1.0,0.022,0.034,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",41,model1010.bnet,0.024,1.0,0.026,0.012,0.012,0.012,,0.024,0.024,0.86,1.0,0.024,0.04,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",41,model1010.bnet,0.032,1.0,0.034,0.01,0.01,0.01,,0.032,0.032,0.864,1.0,0.032,0.045,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",41,model1010.bnet,0.032,1.0,0.034,0.016,0.016,0.016,,0.032,0.032,0.859,1.0,,0.05,0.016,1.0,,1.0,
"wt, no DNAdam",42,model1010.bnet,,0.813,,0.18,0.18,0.18,,,,0.813,0.813,,0.18,0.18,0.813,,0.813,
"kras$\Delta$, no DNAdam, 0/0",42,model1010.bnet,,1.0,,0.205,0.205,0.205,,,,0.788,1.0,,0.205,0.205,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",42,model1010.bnet,0.032,1.0,0.033,0.011,0.011,0.011,0.032,0.032,0.032,0.862,1.0,0.032,0.046,0.012,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",42,model1010.bnet,0.042,1.0,0.043,0.015,0.015,0.015,,0.042,0.042,0.862,1.0,0.042,0.06,0.017,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",42,model1010.bnet,0.04,1.0,0.042,0.016,0.016,0.016,,0.04,0.04,0.848,1.0,0.04,0.059,0.017,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",42,model1010.bnet,0.037,1.0,0.04,0.018,0.018,0.018,,0.037,0.037,0.869,1.0,,0.058,0.018,1.0,,1.0,0.0
"wt, no DNAdam",43,model1010.bnet,,0.806,,0.194,0.194,0.194,,,,0.806,0.806,,0.194,0.194,0.806,,0.806,
"kras$\Delta$, no DNAdam, 0/0",43,model1010.bnet,,1.0,,0.199,0.199,0.199,,,,0.797,1.0,,0.199,0.199,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",43,model1010.bnet,0.025,1.0,0.027,0.01,0.01,0.01,0.025,0.025,0.025,0.863,1.0,0.025,0.037,0.01,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",43,model1010.bnet,0.032,1.0,0.033,0.017,0.017,0.017,,0.032,0.032,0.859,1.0,0.032,0.051,0.018,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",43,model1010.bnet,0.031,1.0,0.033,0.008,0.008,0.008,,0.031,0.031,0.88,1.0,0.031,0.042,0.009,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",43,model1010.bnet,0.04,1.0,0.042,0.012,0.012,0.012,,0.04,0.04,0.852,1.0,,0.055,0.012,1.0,,1.0,
"wt, no DNAdam",44,model1010.bnet,,0.812,,0.186,0.186,0.186,,,,0.812,0.812,,0.186,0.186,0.812,,0.812,
"kras$\Delta$, no DNAdam, 0/0",44,model1010.bnet,,1.0,,0.184,0.184,0.184,,,,0.808,1.0,,0.184,0.184,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",44,model1010.bnet,0.027,1.0,0.028,0.01,0.01,0.01,0.027,0.027,0.027,0.86,1.0,0.027,0.039,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",44,model1010.bnet,0.04,1.0,0.042,0.011,0.011,0.011,,0.04,0.04,0.852,1.0,0.04,0.054,0.011,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",44,model1010.bnet,0.034,1.0,0.036,0.012,0.012,0.012,,0.034,0.034,0.851,1.0,0.034,0.05,0.014,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",44,model1010.bnet,0.037,1.0,0.04,0.015,0.015,0.015,,0.037,0.037,0.851,1.0,,0.054,0.015,1.0,,1.0,
"wt, no DNAdam",45,model1010.bnet,,0.815,,0.186,0.186,0.186,,,,0.815,0.815,,0.186,0.186,0.815,,0.815,
"kras$\Delta$, no DNAdam, 0/0",45,model1010.bnet,,1.0,,0.19,0.19,0.19,,,,0.804,1.0,,0.19,0.19,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/0",45,model1010.bnet,0.008,1.0,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.868,1.0,0.008,0.016,0.008,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/0",45,model1010.bnet,0.012,1.0,0.012,0.017,0.017,0.017,,0.012,0.012,0.857,1.0,0.012,0.031,0.019,1.0,,1.0,
"kras$\Delta$, DNAdam, 0/mk2i",45,model1010.bnet,0.012,1.0,0.013,0.018,0.018,0.018,,0.012,0.012,0.854,1.0,0.012,0.034,0.022,1.0,,1.0,
"kras$\Delta$, DNAdam, chek1i/mk2i",45,model1010.bnet,0.028,1.0,0.031,0.029,0.029,0.029,,0.028,0.028,0.864,1.0,,0.06,0.029,1.0,,1.0,
"wt, no DNAdam",46,model1010.bnet,,0.804,,0.205,0.205,0.205,,,,0.804,0.804,,0.205,0.205,0.804,,0.804,
"kras$\Delta$, no DNAdam, 0/0",46,model1010.bnet,,1.0,,0.198,0.198,0.198,,,,0.798,1.0,,0.198,0.198,1.0,,1.0,
