conds,parset,model,ATM_ATR,BRAF,CASP3,CDC25A,CDC25B_C,CDK1,CHEK1,CHEK2,DSB_SSB,EGFR,MEK,MK2,Mitosis,Proliferation,RAS,TP53,p38
"kras$\Delta$, DNAdam, 0/0",140,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0035,0.9999999999999999,0.0035,,,,0.9999999999999999,0.0035,0.0035,0.8594999999999999,0.9999999999999999,0.0035,0.018500000000000003,0.015,0.9999999999999999,0.0035,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",140,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0045000000000000005,1.0,0.005,0.072,0.072,0.072,,0.0045000000000000005,0.0045000000000000005,0.8554999999999999,1.0,0.0045000000000000005,0.078,0.073,1.0,0.0045000000000000005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",140,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0045000000000000005,0.9999999999999999,0.0055,,,,0.9999999999999999,0.0045000000000000005,0.0045000000000000005,0.846,0.9999999999999999,,0.028999999999999998,0.0235,0.9999999999999999,0.0045000000000000005,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",140,krasreduced_dnarep_simplif_mitot_catast.bnet,0.006999999999999999,1.0,0.009999999999999998,0.0635,0.0635,0.0635,,0.006999999999999999,0.006999999999999999,0.863,1.0,,0.07350000000000001,0.0635,1.0,0.006999999999999999,1.0
"wt, no DNAdam",141,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8065,,0.144,0.144,0.144,0.8065,,,0.8065,0.8065,,0.16599999999999998,0.16599999999999998,0.8065,,0.8065
"kras$\Delta$, no DNAdam, 0/0",141,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.815,1.0,,0.092,0.092,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",141,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.8585,1.0,0.0005,0.036,0.0355,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/0",141,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0015,0.9999999999999999,0.003,0.0645,0.0645,0.0645,,0.0015,0.0015,0.8639999999999999,0.9999999999999999,0.0015,0.073,0.07,0.9999999999999999,0.0015,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",141,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.866,1.0,,0.028999999999999998,0.028499999999999998,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",141,krasreduced_dnarep_simplif_mitot_catast.bnet,0.001,1.0,0.003,0.092,0.092,0.092,,0.001,0.001,0.846,1.0,,0.095,0.092,1.0,0.001,1.0
"wt, no DNAdam",142,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.806,,0.1405,0.1405,0.1405,0.806,,,0.806,0.806,,0.16200000000000003,0.16200000000000003,0.806,,0.806
"kras$\Delta$, no DNAdam, 0/0",142,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.7925,1.0,,0.10099999999999999,0.10099999999999999,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",142,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0055,0.9999999999999998,0.006999999999999999,,,,0.9999999999999998,0.0055,0.0055,0.8569999999999999,0.9999999999999998,0.0055,0.026000000000000002,0.019,0.9999999999999998,0.0055,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",142,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0095,1.0,0.0105,0.0745,0.0745,0.0745,,0.0095,0.0095,0.8514999999999999,1.0,0.0095,0.08499999999999999,0.0745,1.0,0.0095,1.0
"kras$\Delta$, DNAdam, 0/mk2i",142,krasreduced_dnarep_simplif_mitot_catast.bnet,0.005,1.0,0.005,,,,1.0,0.005,0.005,0.859,1.0,,0.030000000000000002,0.025,1.0,0.005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",142,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0035,1.0,0.0055,0.067,0.067,0.067,,0.0035,0.0035,0.8625,1.0,,0.0725,0.067,1.0,0.0035,1.0
"wt, no DNAdam",143,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8079999999999999,,0.156,0.156,0.156,0.8079999999999999,,,0.8079999999999999,0.8079999999999999,,0.1695,0.1695,0.8079999999999999,,0.8079999999999999
"kras$\Delta$, no DNAdam, 0/0",143,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8160000000000001,1.0,,0.088,0.088,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",143,krasreduced_dnarep_simplif_mitot_catast.bnet,0.006999999999999999,0.9999999999999999,0.0085,,,,0.9999999999999999,0.006999999999999999,0.006999999999999999,0.833,0.9999999999999999,0.006999999999999999,0.037500000000000006,0.029,0.9999999999999999,0.006999999999999999,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",143,krasreduced_dnarep_simplif_mitot_catast.bnet,0.005,1.0,0.005,0.063,0.063,0.063,,0.005,0.005,0.871,1.0,0.005,0.068,0.063,1.0,0.005,1.0
"kras$\Delta$, DNAdam, 0/mk2i",143,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0065,1.0,0.0075,,,,1.0,0.0065,0.0065,0.854,1.0,,0.0285,0.020999999999999998,1.0,0.0065,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",143,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0085,1.0,0.0095,0.07400000000000001,0.07400000000000001,0.07400000000000001,,0.0085,0.0085,0.838,1.0,,0.08350000000000002,0.07400000000000001,1.0,0.0085,1.0
"wt, no DNAdam",144,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.81,,0.1515,0.1515,0.1515,0.81,,,0.81,0.81,,0.1735,0.1735,0.81,,0.81
"kras$\Delta$, no DNAdam, 0/0",144,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.7935,1.0,,0.1145,0.1145,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",144,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.867,1.0,,0.027999999999999997,0.027999999999999997,1.0,,1.0
"kras$\Delta$, DNAdam, chek1i/0",144,krasreduced_dnarep_simplif_mitot_catast.bnet,0.001,0.9999999999999999,0.0015,0.0765,0.0765,0.0765,,0.001,0.001,0.8629999999999999,0.9999999999999999,0.001,0.081,0.0795,0.9999999999999999,0.001,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",144,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0015,0.9999999999999999,0.0015,,,,0.9999999999999999,0.0015,0.0015,0.845,0.9999999999999999,,0.029500000000000002,0.028,0.9999999999999999,0.0015,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",144,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0015,1.0,0.0015,0.12200000000000001,0.12200000000000001,0.12200000000000001,,0.0015,0.0015,0.851,1.0,,0.12350000000000001,0.12200000000000001,1.0,0.0015,1.0
"wt, no DNAdam",145,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8079999999999999,,0.1575,0.1575,0.1575,0.8079999999999999,,,0.8079999999999999,0.8079999999999999,,0.17800000000000002,0.17800000000000002,0.8079999999999999,,0.8079999999999999
"kras$\Delta$, no DNAdam, 0/0",145,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8055,1.0,,0.0985,0.0985,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",145,krasreduced_dnarep_simplif_mitot_catast.bnet,0.005,0.9999999999999998,0.0055,,,,0.9999999999999998,0.005,0.005,0.8579999999999999,0.9999999999999998,0.005,0.0355,0.03,0.9999999999999998,0.005,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",145,krasreduced_dnarep_simplif_mitot_catast.bnet,0.004,0.9999999999999999,0.0055,0.0855,0.0855,0.0855,,0.004,0.004,0.843,0.9999999999999999,0.004,0.0935,0.08800000000000001,0.9999999999999999,0.004,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",145,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0015,1.0,0.0025,,,,1.0,0.0015,0.0015,0.8619999999999999,1.0,,0.033,0.030500000000000003,1.0,0.0015,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",145,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0015,1.0,0.003,0.1115,0.1115,0.1115,,0.0015,0.0015,0.8704999999999999,1.0,,0.1145,0.1115,1.0,0.0015,1.0
"wt, no DNAdam",146,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.812,,0.157,0.157,0.157,0.812,,,0.812,0.812,,0.1845,0.1845,0.812,,0.812
"kras$\Delta$, no DNAdam, 0/0",146,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8005,1.0,,0.1,0.1,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",146,krasreduced_dnarep_simplif_mitot_catast.bnet,0.007,0.9999999999999998,0.0085,,,,0.9999999999999998,0.007,0.007,0.8554999999999999,0.9999999999999998,0.007,0.0255,0.017,0.9999999999999998,0.007,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",146,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0095,1.0,0.010499999999999999,0.078,0.078,0.078,,0.0095,0.0095,0.8615,1.0,0.0095,0.09050000000000001,0.08,1.0,0.0095,1.0
"kras$\Delta$, DNAdam, 0/mk2i",146,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0055,1.0,0.006500000000000001,,,,1.0,0.0055,0.0055,0.8455,1.0,,0.034999999999999996,0.0285,1.0,0.0055,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",146,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0095,1.0,0.010499999999999999,0.1125,0.1125,0.1125,,0.0095,0.0095,0.8614999999999999,1.0,,0.123,0.1125,1.0,0.0095,1.0
"wt, no DNAdam",147,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.809,,0.15,0.15,0.15,0.809,,,0.809,0.809,,0.22,0.22,0.809,,0.809
"kras$\Delta$, no DNAdam, 0/0",147,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.9999999999999999,,,,,0.9999999999999999,,,0.7969999999999999,0.9999999999999999,,0.23399999999999999,0.23399999999999999,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",147,krasreduced_dnarep_simplif_mitot_catast.bnet,0.003,1.0,0.0045000000000000005,,,,1.0,0.003,0.003,0.839,1.0,0.003,0.09000000000000001,0.0855,1.0,0.003,1.0
"kras$\Delta$, DNAdam, chek1i/0",147,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0035,0.9999999999999998,0.005,0.08549999999999999,0.08549999999999999,0.08549999999999999,,0.0035,0.0035,0.8464999999999998,0.9999999999999998,0.0035,0.1035,0.09849999999999999,0.9999999999999998,0.0035,0.9999999999999998
"kras$\Delta$, DNAdam, 0/mk2i",147,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0055,1.0,0.0085,,,,1.0,0.0055,0.0055,0.855,1.0,,0.09450000000000001,0.08600000000000001,1.0,0.0055,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",147,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0055,1.0,0.007,0.11449999999999999,0.11449999999999999,0.11449999999999999,,0.0055,0.0055,0.8604999999999999,1.0,,0.1215,0.11449999999999999,1.0,0.0055,1.0
"wt, no DNAdam",148,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8015,,0.1655,0.1655,0.1655,0.8015,,,0.8015,0.8015,,0.227,0.227,0.8015,,0.8015
"kras$\Delta$, no DNAdam, 0/0",148,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.7935000000000001,1.0,,0.23199999999999998,0.23199999999999998,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",148,krasreduced_dnarep_simplif_mitot_catast.bnet,0.018,0.9999999999999998,0.0205,,,,0.9999999999999998,0.018,0.018,0.8479999999999999,0.9999999999999998,0.018,0.08950000000000001,0.069,0.9999999999999998,0.018,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",148,krasreduced_dnarep_simplif_mitot_catast.bnet,0.025,0.9999999999999998,0.030000000000000002,0.07550000000000001,0.07550000000000001,0.07550000000000001,,0.025,0.025,0.8529999999999999,0.9999999999999998,0.025,0.11150000000000002,0.0815,0.9999999999999998,0.025,0.9999999999999998
"kras$\Delta$, DNAdam, 0/mk2i",148,krasreduced_dnarep_simplif_mitot_catast.bnet,0.018000000000000002,1.0,0.024,,,,1.0,0.018000000000000002,0.018000000000000002,0.862,1.0,,0.07900000000000001,0.055,1.0,0.018000000000000002,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",148,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0195,1.0,0.026000000000000002,0.0895,0.0895,0.0895,,0.0195,0.0195,0.86,1.0,,0.11549999999999999,0.0895,1.0,0.0195,1.0
"wt, no DNAdam",149,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8065,,0.1535,0.1535,0.1535,0.8065,,,0.8065,0.8065,,0.215,0.215,0.8065,,0.8065
"kras$\Delta$, no DNAdam, 0/0",149,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.815,1.0,,0.2005,0.2005,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",149,krasreduced_dnarep_simplif_mitot_catast.bnet,0.03,0.9999999999999999,0.032,,,,0.9999999999999999,0.03,0.03,0.8564999999999999,0.9999999999999999,0.03,0.08199999999999999,0.049999999999999996,0.9999999999999999,0.03,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",149,krasreduced_dnarep_simplif_mitot_catast.bnet,0.034,1.0,0.0395,0.07650000000000001,0.07650000000000001,0.07650000000000001,,0.034,0.034,0.844,1.0,0.034,0.11850000000000002,0.07900000000000001,1.0,0.034,1.0
"kras$\Delta$, DNAdam, 0/mk2i",149,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0295,1.0,0.0325,,,,1.0,0.0295,0.0295,0.8474999999999999,1.0,,0.0905,0.057999999999999996,1.0,0.0295,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",149,krasreduced_dnarep_simplif_mitot_catast.bnet,0.034,1.0,0.0395,0.0785,0.0785,0.0785,,0.034,0.034,0.8585,1.0,,0.11800000000000001,0.0785,1.0,0.034,1.0
"wt, no DNAdam",150,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8055,,0.1585,0.1585,0.1585,0.8055,,,0.8055,0.8055,,0.239,0.239,0.8055,,0.8055
"kras$\Delta$, no DNAdam, 0/0",150,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.9999999999999999,,,,,0.9999999999999999,,,0.7989999999999999,0.9999999999999999,,0.2325,0.2325,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",150,krasreduced_dnarep_simplif_mitot_catast.bnet,0.006500000000000001,0.9999999999999999,0.011,,,,0.9999999999999999,0.006500000000000001,0.006500000000000001,0.8624999999999999,0.9999999999999999,0.006500000000000001,0.09799999999999999,0.087,0.9999999999999999,0.006500000000000001,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",150,krasreduced_dnarep_simplif_mitot_catast.bnet,0.006999999999999999,1.0,0.008,0.08,0.08,0.08,,0.006999999999999999,0.006999999999999999,0.86,1.0,0.006999999999999999,0.109,0.101,1.0,0.006999999999999999,1.0
"kras$\Delta$, DNAdam, 0/mk2i",150,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0095,1.0,0.013,,,,1.0,0.0095,0.0095,0.8575,1.0,,0.093,0.08,1.0,0.0095,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",150,krasreduced_dnarep_simplif_mitot_catast.bnet,0.012,1.0,0.013,0.11699999999999999,0.11699999999999999,0.11699999999999999,,0.012,0.012,0.8435,1.0,,0.13,0.11699999999999999,1.0,0.012,1.0
"wt, no DNAdam",151,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8045,,0.146,0.146,0.146,0.8045,,,0.8045,0.8045,,0.229,0.229,0.8045,,0.8045
"kras$\Delta$, no DNAdam, 0/0",151,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.7985,1.0,,0.236,0.236,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",151,krasreduced_dnarep_simplif_mitot_catast.bnet,0.033,0.9999999999999999,0.041499999999999995,,,,0.9999999999999999,0.033,0.033,0.847,0.9999999999999999,0.033,0.0985,0.057,0.9999999999999999,0.033,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",151,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0325,1.0,0.0415,0.073,0.073,0.073,,0.0325,0.0325,0.853,1.0,0.0325,0.12150000000000001,0.08,1.0,0.0325,1.0
"kras$\Delta$, DNAdam, 0/mk2i",151,krasreduced_dnarep_simplif_mitot_catast.bnet,0.036,1.0,0.041499999999999995,,,,1.0,0.036,0.036,0.8504999999999999,1.0,,0.1035,0.062,1.0,0.036,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",151,krasreduced_dnarep_simplif_mitot_catast.bnet,0.029500000000000002,1.0,0.037000000000000005,0.07050000000000001,0.07050000000000001,0.07050000000000001,,0.029500000000000002,0.029500000000000002,0.8665,1.0,,0.1075,0.07050000000000001,1.0,0.029500000000000002,1.0
"wt, no DNAdam",152,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.806,,0.16,0.16,0.16,0.806,,,0.806,0.806,,0.224,0.224,0.806,,0.806
"kras$\Delta$, no DNAdam, 0/0",152,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.7995,1.0,,0.2385,0.2385,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",152,krasreduced_dnarep_simplif_mitot_catast.bnet,0.039,1.0,0.04499999999999999,,,,1.0,0.039,0.039,0.8615,1.0,0.039,0.087,0.041999999999999996,1.0,0.039,1.0
"kras$\Delta$, DNAdam, chek1i/0",152,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0385,1.0,0.043500000000000004,0.055,0.055,0.055,,0.0385,0.0385,0.8654999999999999,1.0,0.0385,0.10099999999999999,0.0575,1.0,0.0385,1.0
"kras$\Delta$, DNAdam, 0/mk2i",152,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0475,0.9999999999999998,0.053000000000000005,,,,0.9999999999999998,0.0475,0.0475,0.8599999999999999,0.9999999999999998,,0.10250000000000001,0.049499999999999995,0.9999999999999998,0.0475,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/mk2i",152,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0515,1.0,0.059,0.0655,0.0655,0.0655,,0.0515,0.0515,0.8454999999999999,1.0,,0.1245,0.0655,1.0,0.0515,1.0
"wt, no DNAdam",153,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8019999999999999,,0.1565,0.1565,0.1565,0.8019999999999999,,,0.8019999999999999,0.8019999999999999,,0.187,0.187,0.8019999999999999,,0.8019999999999999
"kras$\Delta$, no DNAdam, 0/0",153,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.9999999999999999,,,,,0.9999999999999999,,,0.7999999999999999,0.9999999999999999,,0.1105,0.1105,0.9999999999999999,,0.9999999999999999
"kras$\Delta$, DNAdam, 0/0",153,krasreduced_dnarep_simplif_mitot_catast.bnet,0.003,1.0,0.003,,,,1.0,0.003,0.003,0.8584999999999999,1.0,0.003,0.038500000000000006,0.035500000000000004,1.0,0.003,1.0
"kras$\Delta$, DNAdam, chek1i/0",153,krasreduced_dnarep_simplif_mitot_catast.bnet,0.001,0.9999999999999999,0.0015,0.096,0.096,0.096,,0.001,0.001,0.8579999999999999,0.9999999999999999,0.001,0.10250000000000001,0.101,0.9999999999999999,0.001,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",153,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0005,1.0,0.0005,,,,1.0,0.0005,0.0005,0.851,1.0,,0.035,0.0345,1.0,0.0005,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",153,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0015,0.9999999999999999,0.002,0.14250000000000002,0.14250000000000002,0.14250000000000002,,0.0015,0.0015,0.843,0.9999999999999999,,0.14450000000000002,0.14250000000000002,0.9999999999999999,0.0015,0.9999999999999999
"wt, no DNAdam",154,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.811,,0.154,0.154,0.154,0.811,,,0.811,0.811,,0.185,0.185,0.811,,0.811
"kras$\Delta$, no DNAdam, 0/0",154,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8265,1.0,,0.10849999999999999,0.10849999999999999,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",154,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0035,0.9999999999999999,0.005000000000000001,,,,0.9999999999999999,0.0035,0.0035,0.8734999999999999,0.9999999999999999,0.0035,0.0305,0.0255,0.9999999999999999,0.0035,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",154,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0085,0.9999999999999999,0.010499999999999999,0.09,0.09,0.09,,0.0085,0.0085,0.8569999999999999,0.9999999999999999,0.0085,0.102,0.0915,0.9999999999999999,0.0085,0.9999999999999999
"kras$\Delta$, DNAdam, 0/mk2i",154,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0085,1.0,0.0095,,,,1.0,0.0085,0.0085,0.8594999999999999,1.0,,0.042,0.0325,1.0,0.0085,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",154,krasreduced_dnarep_simplif_mitot_catast.bnet,0.006,1.0,0.006999999999999999,0.1395,0.1395,0.1395,,0.006,0.006,0.8484999999999999,1.0,,0.14650000000000002,0.1395,1.0,0.006,1.0
"wt, no DNAdam",155,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.7985,,0.157,0.157,0.157,0.7985,,,0.7985,0.7985,,0.186,0.186,0.7985,,0.7985
"kras$\Delta$, no DNAdam, 0/0",155,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8039999999999999,1.0,,0.119,0.119,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",155,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0085,0.9999999999999998,0.009,,,,0.9999999999999998,0.0085,0.0085,0.8519999999999999,0.9999999999999998,0.0085,0.04100000000000001,0.032,0.9999999999999998,0.0085,0.9999999999999998
"kras$\Delta$, DNAdam, chek1i/0",155,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0095,1.0,0.011,0.0895,0.0895,0.0895,,0.0095,0.0095,0.859,1.0,0.0095,0.1025,0.0915,1.0,0.0095,1.0
"kras$\Delta$, DNAdam, 0/mk2i",155,krasreduced_dnarep_simplif_mitot_catast.bnet,0.005,0.9999999999999999,0.0055,,,,0.9999999999999999,0.005,0.005,0.8434999999999999,0.9999999999999999,,0.041,0.035500000000000004,0.9999999999999999,0.005,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/mk2i",155,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0145,1.0,0.0175,0.1235,0.1235,0.1235,,0.0145,0.0145,0.844,1.0,,0.14100000000000001,0.1235,1.0,0.0145,1.0
"wt, no DNAdam",156,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.792,,0.1755,0.1755,0.1755,0.792,,,0.792,0.792,,0.254,0.254,0.792,,0.792
"kras$\Delta$, no DNAdam, 0/0",156,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8125,1.0,,0.22799999999999998,0.22799999999999998,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",156,krasreduced_dnarep_simplif_mitot_catast.bnet,0.008,0.9999999999999999,0.012,,,,0.9999999999999999,0.008,0.008,0.846,0.9999999999999999,0.008,0.10600000000000001,0.094,0.9999999999999999,0.008,0.9999999999999999
"kras$\Delta$, DNAdam, chek1i/0",156,krasreduced_dnarep_simplif_mitot_catast.bnet,0.01,1.0,0.014,0.086,0.086,0.086,,0.01,0.01,0.8539999999999999,1.0,0.01,0.1275,0.11349999999999999,1.0,0.01,1.0
"kras$\Delta$, DNAdam, 0/mk2i",156,krasreduced_dnarep_simplif_mitot_catast.bnet,0.009,1.0,0.0115,,,,1.0,0.009,0.009,0.849,1.0,,0.1085,0.097,1.0,0.009,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",156,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0085,1.0,0.010499999999999999,0.134,0.134,0.134,,0.0085,0.0085,0.8365,1.0,,0.1445,0.134,1.0,0.0085,1.0
"wt, no DNAdam",157,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.807,,0.1575,0.1575,0.1575,0.807,,,0.807,0.807,,0.242,0.242,0.807,,0.807
"kras$\Delta$, no DNAdam, 0/0",157,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0,,,,,1.0,,,0.8135,1.0,,0.2245,0.2245,1.0,,1.0
"kras$\Delta$, DNAdam, 0/0",157,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0335,1.0,0.037,,,,1.0,0.0335,0.0335,0.8625,1.0,0.0335,0.09000000000000001,0.053,1.0,0.0335,1.0
"kras$\Delta$, DNAdam, chek1i/0",157,krasreduced_dnarep_simplif_mitot_catast.bnet,0.037,1.0,0.0465,0.07200000000000001,0.07200000000000001,0.07200000000000001,,0.037,0.037,0.8484999999999999,1.0,0.037,0.12400000000000001,0.0775,1.0,0.037,1.0
"kras$\Delta$, DNAdam, 0/mk2i",157,krasreduced_dnarep_simplif_mitot_catast.bnet,0.034,1.0,0.0395,,,,1.0,0.034,0.034,0.842,1.0,,0.1095,0.06999999999999999,1.0,0.034,1.0
"kras$\Delta$, DNAdam, chek1i/mk2i",157,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0315,1.0,0.043,0.098,0.098,0.098,,0.0315,0.0315,0.8474999999999999,1.0,,0.141,0.098,1.0,0.0315,1.0
"wt, no DNAdam",158,krasreduced_dnarep_simplif_mitot_catast.bnet,,0.8,,0.166,0.166,0.166,0.8,,,0.8,0.8,,0.2505,0.2505,0.8,,0.8
"kras$\Delta$, no DNAdam, 0/0",158,krasreduced_dnarep_simplif_mitot_catast.bnet,,1.0000000000000002,,,,,1.0000000000000002,,,0.793,1.0000000000000002,,0.2465,0.2465,1.0000000000000002,,1.0000000000000002
"kras$\Delta$, DNAdam, 0/0",158,krasreduced_dnarep_simplif_mitot_catast.bnet,0.047,1.0,0.054,,,,1.0,0.047,0.047,0.8434999999999999,1.0,0.047,0.1175,0.0635,1.0,0.047,1.0
"kras$\Delta$, DNAdam, chek1i/0",158,krasreduced_dnarep_simplif_mitot_catast.bnet,0.049,1.0,0.06,0.06799999999999999,0.06799999999999999,0.06799999999999999,,0.049,0.049,0.8474999999999999,1.0,0.049,0.13,0.06999999999999999,1.0,0.049,1.0
"kras$\Delta$, DNAdam, 0/mk2i",158,krasreduced_dnarep_simplif_mitot_catast.bnet,0.0345,1.0,0.0415,,,,1.0,0.0345,0.0345,0.8615,1.0,,0.0945,0.053,1.0,0.0345,1.0
