chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,0,0,DMSO,HCT116,facs,24,BrDU_S_24h,47.5,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_S_24h,21.2,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_S_24h,9.39,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_S_24h,50.8,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_24h,10.4,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_24h,7.22,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,24,BrDU_S_24h,52.7,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_S_24h,47.5,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_S_24h,38.1,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_S_24h,56.5,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_24h,46.8,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_24h,20.9,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,24,BrDU_S_24h,29.3,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_S_24h,33.9,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_S_24h,30.3,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_S_24h,29.7,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_24h,27.2,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_24h,26.2,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,48,BrDU_S_48h,48.1,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_S_48h,16.5,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_S_48h,8.1,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_S_48h,47,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_48h,6.6,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_48h,4.97,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,48,BrDU_S_48h,44.8,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_S_48h,41,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_S_48h,34.7,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_S_48h,37.2,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_48h,46.8,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_48h,37.9,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,48,BrDU_S_48h,23.8,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_S_48h,24,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_S_48h,18.7,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_S_48h,17.2,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_48h,18.5,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_48h,15.6,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,72,BrDU_S_72h,33.2,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_S_72h,17.2,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_S_72h,9.72,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_S_72h,37.7,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_72h,7.18,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_72h,6.63,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,72,BrDU_S_72h,29,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_S_72h,36.7,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_S_72h,38.6,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_S_72h,48.8,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_72h,43.2,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_72h,34.3,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,72,BrDU_S_72h,24,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_S_72h,20.6,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_S_72h,18.9,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_S_72h,23.7,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_72h,16.3,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_72h,17.5,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,24,BrDU_S_arrest_24h,1.71,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_S_arrest_24h,6.24,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_S_arrest_24h,6.7,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_S_arrest_24h,1.63,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_arrest_24h,7.02,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_arrest_24h,10.5,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,24,BrDU_S_arrest_24h,0.41,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_S_arrest_24h,0.69,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_S_arrest_24h,2.07,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_S_arrest_24h,1.36,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_arrest_24h,2.52,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_arrest_24h,5.24,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,24,BrDU_S_arrest_24h,6.29,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_S_arrest_24h,4.48,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_S_arrest_24h,6.91,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_S_arrest_24h,7.98,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_arrest_24h,8.77,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_arrest_24h,11.6,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,48,BrDU_S_arrest_48h,0.74,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_S_arrest_48h,6.01,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_S_arrest_48h,6.92,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_S_arrest_48h,1.03,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_arrest_48h,7.53,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_arrest_48h,9.7,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,48,BrDU_S_arrest_48h,0.45,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_S_arrest_48h,0.85,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_S_arrest_48h,3.5,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_S_arrest_48h,5.08,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_arrest_48h,3.23,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_arrest_48h,7.65,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,48,BrDU_S_arrest_48h,7.3,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_S_arrest_48h,5.34,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_S_arrest_48h,10.5,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_S_arrest_48h,10.9,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_arrest_48h,11.3,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_arrest_48h,15,NA,NA,NA,NA,BrDU
0,0,0,DMSO,HCT116,facs,72,BrDU_S_arrest_72h,0.88,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_S_arrest_72h,7.69,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_S_arrest_72h,8.65,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_S_arrest_72h,1.12,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_arrest_72h,11.4,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_arrest_72h,16.2,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW620,facs,72,BrDU_S_arrest_72h,4.32,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_S_arrest_72h,1.17,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_S_arrest_72h,1.44,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_S_arrest_72h,0.37,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_arrest_72h,3.12,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_arrest_72h,8.01,NA,NA,NA,NA,BrDU
0,0,0,DMSO,SW948,facs,72,BrDU_S_arrest_72h,4.71,NA,NA,NA,NA,BrDU
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_S_arrest_72h,6.38,NA,NA,NA,NA,BrDU
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_S_arrest_72h,7.58,NA,NA,NA,NA,BrDU
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_S_arrest_72h,5.47,NA,NA,NA,NA,BrDU
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_arrest_72h,9.42,NA,NA,NA,NA,BrDU
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_arrest_72h,10.9,NA,NA,NA,NA,BrDU
