chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC2_Tyr15,0.334,0,0,0,0,pCDC2
0,0,0,DMSO,SW948,wes,NA,pCDC2_Tyr15,1,0.217,0.157,0.497,0.81,pCDC2
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDC2_Tyr15,1,0.217,0.157,0.497,0.81,pCDC2
1,0,0,1µM Chk1i,SW948,wes,NA,pCDC2_Tyr15,1.058,0.291,0.216,0.684,0.881,pCDC2
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDC2_Tyr15,0.912,0.098,0.067,0.213,0.703,pCDC2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC2_Tyr15,0.846,0,0,0,0.623,pCDC2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC2_Tyr15,1.156,0.406,0.316,1,1,pCDC2
0,0,0,DMSO,HCT116,wes,NA,pCDK2_T14,1,0,0,0,0.442,pCDK2
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDK2_T14,1.066,0.16,0.134,0.134,0.517,pCDK2
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDK2_T14,1.272,0.602,0.554,0.554,0.751,pCDK2
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDK2_T14,1.271,0.6,0.552,0.552,0.75,pCDK2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDK2_T14,1.491,1,1,1,1,pCDK2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDK2_T14,1.275,0.608,0.56,0.56,0.755,pCDK2
0,0,0,DMSO,SW620,wes,NA,pCDK2_T14,1,0.586,0.483,0.74,0.442,pCDK2
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDK2_T14,0.759,0.258,0.184,0.281,0.168,pCDK2
1,0,0,1µM Chk1i,SW620,wes,NA,pCDK2_T14,0.723,0.2,0.139,0.213,0.127,pCDK2
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDK2_T14,1.137,0.739,0.653,1,0.598,pCDK2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDK2_T14,0.92,0.487,0.384,0.587,0.351,pCDK2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDK2_T14,0.611,0,0,0,0,pCDK2
0,0,0,DMSO,SW948,wes,NA,pCDK2_T14,1,0.134,0.108,0.18,0.442,pCDK2
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDK2_T14,1.074,0.284,0.238,0.394,0.526,pCDK2
1,0,0,1µM Chk1i,SW948,wes,NA,pCDK2_T14,1.283,0.658,0.603,1,0.764,pCDK2
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDK2_T14,1.136,0.402,0.346,0.574,0.597,pCDK2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDK2_T14,0.938,0,0,0,0.372,pCDK2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDK2_T14,1.211,0.537,0.477,0.791,0.682,pCDK2
0,0,0,DMSO,HCT116,wes,NA,pCDC25C_Ser216,1,0.786,0.739,0.739,0.514,pCDC25C
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDC25C_Ser216,1.122,1,1,1,0.696,pCDC25C
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDC25C_Ser216,0.795,0.36,0.3,0.3,0.209,pCDC25C
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDC25C_Ser216,1.001,0.788,0.741,0.741,0.516,pCDC25C
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25C_Ser216,0.884,0.557,0.49,0.49,0.341,pCDC25C
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25C_Ser216,0.655,0,0,0,0,pCDC25C
0,0,0,DMSO,SW620,wes,NA,pCDC25C_Ser216,1,0.622,0.553,0.553,0.514,pCDC25C
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDC25C_Ser216,1.1,0.785,0.734,0.734,0.663,pCDC25C
1,0,0,1µM Chk1i,SW620,wes,NA,pCDC25C_Ser216,0.971,0.572,0.5,0.5,0.471,pCDC25C
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDC25C_Ser216,1.247,1,1,1,0.882,pCDC25C
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC25C_Ser216,1.017,0.651,0.583,0.583,0.539,pCDC25C
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC25C_Ser216,0.695,0,0,0,0.06,pCDC25C
0,0,0,DMSO,SW948,wes,NA,pCDC25C_Ser216,1,0.243,0.176,0.348,0.514,pCDC25C
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDC25C_Ser216,1.215,0.491,0.395,0.778,0.835,pCDC25C
1,0,0,1µM Chk1i,SW948,wes,NA,pCDC25C_Ser216,1.326,0.603,0.507,1,1,pCDC25C
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDC25C_Ser216,1.227,0.504,0.407,0.802,0.852,pCDC25C
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25C_Ser216,0.826,0,0,0,0.255,pCDC25C
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25C_Ser216,1.098,0.362,0.276,0.544,0.66,pCDC25C
0,0,0,DMSO,HCT116,wes,NA,pChk2_Thr68,1,0,0,0,0.14,pChk2
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pChk2_Thr68,1.804,0.438,0.282,1,1,pChk2
1,0,0,1µM Chk1i,HCT116,wes,NA,pChk2_Thr68,1.345,0.22,0.121,0.429,0.509,pChk2
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pChk2_Thr68,1.204,0.138,0.072,0.254,0.358,pChk2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk2_Thr68,1.369,0.233,0.129,0.459,0.535,pChk2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk2_Thr68,1.252,0.167,0.088,0.313,0.41,pChk2
0,0,0,DMSO,SW620,wes,NA,pChk2_Thr68,1,0.26,0.21,0.21,0.14,pChk2
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pChk2_Thr68,1.164,0.541,0.474,0.474,0.316,pChk2
1,0,0,1µM Chk1i,SW620,wes,NA,pChk2_Thr68,1.146,0.512,0.445,0.445,0.296,pChk2
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pChk2_Thr68,0.869,0,0,0,0,pChk2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk2_Thr68,1.161,0.536,0.469,0.469,0.312,pChk2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk2_Thr68,1.492,1,1,1,0.666,pChk2
