chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDK2_T14,0.92
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDK2_T14,0.611
0,0,42,42µM etoposide (2h),SW620,wes,NA,pCDK2_T14,1.416
0,0,0,DMSO,SW948,wes,NA,pCDK2_T14,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDK2_T14,1.074
1,0,0,1µM Chk1i,SW948,wes,NA,pCDK2_T14,1.283
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDK2_T14,1.136
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDK2_T14,0.938
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDK2_T14,1.211
0,0,42,42µM etoposide (2h),SW948,wes,NA,pCDK2_T14,1.51
0,0,0,DMSO,HCT116,wes,NA,pCDC25C_Ser216,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pCDC25C_Ser216,1.122
1,0,0,1µM Chk1i,HCT116,wes,NA,pCDC25C_Ser216,0.795
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pCDC25C_Ser216,1.001
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25C_Ser216,0.884
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pCDC25C_Ser216,0.655
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pCDC25C_Ser216,0.764
0,0,0,DMSO,SW620,wes,NA,pCDC25C_Ser216,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pCDC25C_Ser216,1.1
1,0,0,1µM Chk1i,SW620,wes,NA,pCDC25C_Ser216,0.971
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pCDC25C_Ser216,1.247
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC25C_Ser216,1.017
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pCDC25C_Ser216,0.695
0,0,42,42µM etoposide (2h),SW620,wes,NA,pCDC25C_Ser216,1.008
0,0,0,DMSO,SW948,wes,NA,pCDC25C_Ser216,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pCDC25C_Ser216,1.215
1,0,0,1µM Chk1i,SW948,wes,NA,pCDC25C_Ser216,1.326
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pCDC25C_Ser216,1.227
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25C_Ser216,0.826
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pCDC25C_Ser216,1.098
0,0,42,42µM etoposide (2h),SW948,wes,NA,pCDC25C_Ser216,1.812
0,0,0,DMSO,HCT116,wes,NA,pChk2_Thr68,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pChk2_Thr68,1.804
1,0,0,1µM Chk1i,HCT116,wes,NA,pChk2_Thr68,1.345
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pChk2_Thr68,1.204
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk2_Thr68,1.369
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pChk2_Thr68,1.252
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pChk2_Thr68,3.851
0,0,0,DMSO,SW620,wes,NA,pChk2_Thr68,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pChk2_Thr68,1.164
1,0,0,1µM Chk1i,SW620,wes,NA,pChk2_Thr68,1.146
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pChk2_Thr68,0.869
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk2_Thr68,1.161
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pChk2_Thr68,1.492
0,0,42,42µM etoposide (2h),SW620,wes,NA,pChk2_Thr68,1.113
0,0,0,DMSO,SW948,wes,NA,pChk2_Thr68,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pChk2_Thr68,1.262
1,0,0,1µM Chk1i,SW948,wes,NA,pChk2_Thr68,1.149
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pChk2_Thr68,0.912
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk2_Thr68,1.04
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pChk2_Thr68,1.384
0,0,42,42µM etoposide (2h),SW948,wes,NA,pChk2_Thr68,19.216
0,0,0,DMSO,HCT116,wes,NA,pP38_Thr180_Tyr182,1
0.5,0,0,0.5µM Chk1i,HCT116,wes,NA,pP38_Thr180_Tyr182,6.459
1,0,0,1µM Chk1i,HCT116,wes,NA,pP38_Thr180_Tyr182,5.273
0,2.5,0,2.5µM Mk2i,HCT116,wes,NA,pP38_Thr180_Tyr182,3.009
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pP38_Thr180_Tyr182,8.964
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,wes,NA,pP38_Thr180_Tyr182,10.534
0,0,42,42µM etoposide (2h),HCT116,wes,NA,pP38_Thr180_Tyr182,8.101
0,0,0,DMSO,SW620,wes,NA,pP38_Thr180_Tyr182,1
0.5,0,0,0.5µM Chk1i,SW620,wes,NA,pP38_Thr180_Tyr182,1.211
1,0,0,1µM Chk1i,SW620,wes,NA,pP38_Thr180_Tyr182,1.099
0,2.5,0,2.5µM Mk2i,SW620,wes,NA,pP38_Thr180_Tyr182,1.772
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pP38_Thr180_Tyr182,1.554
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,wes,NA,pP38_Thr180_Tyr182,1.78
0,0,42,42µM etoposide (2h),SW620,wes,NA,pP38_Thr180_Tyr182,2.715
0,0,0,DMSO,SW948,wes,NA,pP38_Thr180_Tyr182,1
0.5,0,0,0.5µM Chk1i,SW948,wes,NA,pP38_Thr180_Tyr182,0.896
1,0,0,1µM Chk1i,SW948,wes,NA,pP38_Thr180_Tyr182,1.211
0,2.5,0,2.5µM Mk2i,SW948,wes,NA,pP38_Thr180_Tyr182,1.319
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pP38_Thr180_Tyr182,0.763
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,wes,NA,pP38_Thr180_Tyr182,0.795
0,0,42,42µM etoposide (2h),SW948,wes,NA,pP38_Thr180_Tyr182,2.332
0,0,0,DMSO,HCT116,facs,24,Cleaved_Caspase_3_24h,17
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,Cleaved_Caspase_3_24h,17.6
1,0,0,1µM Chk1i,HCT116,facs,24,Cleaved_Caspase_3_24h,29.5
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,Cleaved_Caspase_3_24h,13
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,Cleaved_Caspase_3_24h,24.4
